candidate_id,rank,final_score,reason
CAND_0094759,58,0.412234,Lead AI Engineer with 8.6 years experience. Strong product mindset and leadership. Recruiter response rate 0.11.
CAND_0015528,59,0.409423,Applied ML Engineer with 7.4 years experience. Strong product mindset and leadership. Recruiter response rate 0.53.
CAND_0069905,60,0.407746,Applied ML Engineer with 6.6 years experience. Strong product mindset and leadership. Open to work. Recruiter response rate 0.78.
CAND_0010257,61,0.402947,Senior Data Scientist with 6.5 years experience. Strong product mindset and leadership. Open to work. Recruiter response rate 0.72.
CAND_0042029,62,0.400142,Senior Data Scientist with 6.5 years experience. Strong product mindset and leadership. Recruiter response rate 0.67.
CAND_0013613,63,0.396256,Machine Learning Engineer with 4.7 years experience. Strong product mindset and leadership. Open to work. Recruiter response rate 0.73.
CAND_0095528,64,0.395902,Senior Data Scientist with 5.3 years experience. Strong product mindset and leadership. Open to work. Recruiter response rate 0.55.
CAND_0089552,65,0.392240,Machine Learning Engineer with 6.0 years experience. Strong product mindset and leadership. Recruiter response rate 0.49.
CAND_0096172,66,0.391765,NLP Engineer with 5.2 years experience. Strong product mindset and leadership. Recruiter response rate 0.47.
CAND_0093912,67,0.387079,Senior Data Scientist with 5.3 years experience. Strong product mindset and leadership. Open to work. Recruiter response rate 0.66.
CAND_0006418,68,0.384323,Machine Learning Engineer with 5.7 years experience. Strong product mindset and leadership. Open to work. Recruiter response rate 0.92.
CAND_0009024,69,0.382663,Search Engineer with 5.2 years experience. Strong product mindset and leadership. Open to work. Recruiter response rate 0.46.
CAND_0013536,70,0.381883,Applied ML Engineer with 14.1 years experience. Strong product mindset and leadership. Open to work. Recruiter response rate 0.87.
CAND_0040887,71,0.380843,Machine Learning Engineer with 4.7 years experience. Strong product mindset and leadership. Open to work. Recruiter response rate 0.84.
CAND_0019480,72,0.380421,NLP Engineer with 2.8 years experience. Strong product mindset and leadership. Open to work. Recruiter response rate 0.87.
CAND_0079387,73,0.378140,AI Engineer with 6.9 years experience. Strong product mindset and leadership. Open to work. Recruiter response rate 0.81.
CAND_0050454,74,0.377816,AI Engineer with 6.8 years experience. Strong product mindset and leadership. Open to work. Recruiter response rate 0.77.
CAND_0091909,75,0.377311,Machine Learning Engineer with 6.9 years experience. Strong product mindset and leadership. Open to work. Recruiter response rate 0.65.
CAND_0044222,76,0.377110,AI Engineer with 7.7 years experience. Strong product mindset and leadership. Open to work. Recruiter response rate 0.60.
CAND_0045250,77,0.366158,Applied ML Engineer with 6.6 years experience. Strong product mindset and leadership. Recruiter response rate 0.74.
CAND_0020877,78,0.365268,Applied ML Engineer with 5.1 years experience. Strong product mindset and leadership. Recruiter response rate 0.66.
CAND_0057563,79,0.364937,NLP Engineer with 6.8 years experience. Strong product mindset and leadership. Recruiter response rate 0.83.
CAND_0068811,80,0.364396,Applied ML Engineer with 8.0 years experience. Strong product mindset and leadership. Open to work. Recruiter response rate 0.42.
CAND_0096142,81,0.364331,Applied ML Engineer with 5.0 years experience. Strong product mindset and leadership. Open to work. Recruiter response rate 0.84.
CAND_0047721,82,0.362671,Senior Data Scientist with 7.0 years experience. Strong product mindset and leadership. Recruiter response rate 0.49.
CAND_0075574,83,0.361805,Machine Learning Engineer with 5.7 years experience. Strong product mindset and leadership. Open to work. Recruiter response rate 0.58.
CAND_0037566,84,0.359988,Machine Learning Engineer with 6.9 years experience. Strong product mindset and leadership. Open to work. Recruiter response rate 0.50.
CAND_0051292,85,0.358309,Applied ML Engineer with 5.2 years experience. Strong product mindset and leadership. Open to work. Recruiter response rate 0.52.
CAND_0091534,86,0.355094,AI Engineer with 16.6 years experience. Strong product mindset and leadership. Recruiter response rate 0.84.
CAND_0075249,87,0.353609,Applied ML Engineer with 6.2 years experience. Strong product mindset and leadership. Open to work. Recruiter response rate 0.82.
CAND_0079064,88,0.350660,Senior Data Scientist with 5.2 years experience. Strong product mindset and leadership. Open to work. Recruiter response rate 0.91.
CAND_0027691,89,0.348220,NLP Engineer with 6.5 years experience. Strong product mindset and leadership. Open to work. Recruiter response rate 0.68.
CAND_0011432,90,0.347659,Senior Data Scientist with 7.6 years experience. Strong product mindset and leadership. Open to work. Recruiter response rate 0.67.
CAND_0037944,91,0.346208,Senior Data Scientist with 4.9 years experience. Strong product mindset and leadership. Open to work. Recruiter response rate 0.42.
CAND_0094056,92,0.343131,NLP Engineer with 5.9 years experience. Strong product mindset and leadership. Recruiter response rate 0.82.
CAND_0007009,93,0.340750,Recommendation Systems Engineer with 7.9 years experience. Strong product mindset and leadership. Open to work. Recruiter response rate 0.62.
CAND_0053591,94,0.340731,AI Engineer with 5.3 years experience. Strong product mindset and leadership. Open to work. Recruiter response rate 0.81.
CAND_0064270,95,0.337155,Applied ML Engineer with 4.2 years experience. Strong product mindset and leadership. Recruiter response rate 0.82.
CAND_0029367,96,0.333160,Senior Data Scientist with 5.7 years experience. Strong product mindset and leadership. Open to work. Recruiter response rate 0.77.
CAND_0027801,97,0.330483,NLP Engineer with 7.4 years experience. Strong product mindset and leadership. Open to work. Recruiter response rate 0.65.
CAND_0093331,98,0.328888,NLP Engineer with 16.1 years experience. Strong product mindset and leadership. Recruiter response rate 0.41.
CAND_0016163,99,0.321475,Applied ML Engineer with 6.7 years experience. Strong product mindset and leadership. Open to work. Recruiter response rate 0.72.
CAND_0009691,100,0.316454,Applied ML Engineer with 6.2 years experience. Strong product mindset and leadership. Open to work. Recruiter response rate 0.64.
